cycle, observation, reward, action, explored, explore_rate, total reward, average reward, time, model size
1, 0, 0, 0, 0, 0.1, 0, 0, 0.16, 8
2, 189, 189, 0, 0, 0.0995, 189, 94.5, 0.16, 24
3, 20, 20, 1, 0, 0.0990025, 209, 69.6667, 0.15, 27
4, 456, 456, 1, 0, 0.0985075, 665, 166.25, 0.16, 29
5, 477, 477, 1, 0, 0.098015, 1142, 228.4, 0.16, 30
6, 480, 480, 1, 0, 0.0975249, 1622, 270.333, 0.16, 29
7, 481, 481, 1, 0, 0.0975249, 2103, 300.429, 0.16, 29
8, 481, 481, 1, 0, 0.0975249, 2584, 323, 0.16, 29
9, 482, 482, 1, 0, 0.0975249, 3066, 340.667, 0.16, 30
10, 482, 482, 1, 0, 0.0975249, 3548, 354.8, 0.16, 30
11, 482, 482, 1, 0, 0.0975249, 4030, 366.364, 0.16, 29
12, 483, 483, 1, 0, 0.0975249, 4513, 376.083, 0.16, 30
13, 483, 483, 1, 0, 0.0975249, 4996, 384.308, 0.16, 30
14, 483, 483, 1, 0, 0.0975249, 5479, 391.357, 0.16, 29
15, 483, 483, 1, 0, 0.0975249, 5962, 397.467, 0.16, 31
16, 483, 483, 1, 0, 0.0975249, 6445, 402.812, 0.16, 30
17, 483, 483, 1, 0, 0.0975249, 6928, 407.529, 0.16, 30
18, 483, 483, 1, 0, 0.0975249, 7411, 411.722, 0.16, 30
19, 483, 483, 1, 0, 0.0975249, 7894, 415.474, 0.16, 30
20, 483, 483, 1, 0, 0.0975249, 8377, 418.85, 0.16, 29
21, 483, 483, 1, 0, 0.0975249, 8860, 421.905, 0.15, 29
22, 483, 483, 0, 0, 0.0975249, 9343, 424.682, 0.16, 30
23, 190, 190, 1, 0, 0.0975249, 9533, 414.478, 0.16, 29
24, 466, 466, 1, 0, 0.0975249, 9999, 416.625, 0.16, 29
25, 482, 482, 1, 0, 0.0975249, 10481, 419.24, 0.16, 30
26, 482, 482, 1, 0, 0.0975249, 10963, 421.654, 0.16, 30
27, 482, 482, 0, 0, 0.0975249, 11445, 423.889, 0.16, 29
28, 196, 196, 1, 0, 0.0975249, 11641, 415.75, 0.16, 30
29, 465, 465, 1, 0, 0.0975249, 12106, 417.448, 0.16, 29
30, 481, 481, 1, 0, 0.0975249, 12587, 419.567, 0.16, 29
31, 482, 482, 1, 0, 0.0975249, 13069, 421.581, 0.16, 29
32, 483, 483, 1, 0, 0.0975249, 13552, 423.5, 0.16, 29
33, 483, 483, 1, 0, 0.0975249, 14035, 425.303, 0.16, 30
34, 482, 482, 0, 0, 0.0975249, 14517, 426.971, 0.16, 30
35, 196, 196, 1, 0, 0.0975249, 14713, 420.371, 0.16, 30
36, 466, 466, 1, 0, 0.0975249, 15179, 421.639, 0.16, 30
37, 482, 482, 1, 0, 0.0975249, 15661, 423.27, 0.16, 29
38, 482, 482, 1, 0, 0.0975249, 16143, 424.816, 0.16, 31
39, 483, 483, 0, 0, 0.0975249, 16626, 426.308, 0.16, 30
40, 196, 196, 0, 0, 0.0975249, 16822, 420.55, 0.16, 30
41, 22, 22, 1, 0, 0.0975249, 16844, 410.829, 0.16, 29
42, 461, 461, 1, 0, 0.0975249, 17305, 412.024, 0.16, 29
43, 481, 481, 1, 0, 0.0975249, 17786, 413.628, 0.16, 30
44, 482, 482, 1, 0, 0.0975249, 18268, 415.182, 0.15, 30
45, 482, 482, 1, 0, 0.0975249, 18750, 416.667, 0.16, 30
46, 482, 482, 1, 0, 0.0975249, 19232, 418.087, 0.16, 30
47, 482, 482, 1, 0, 0.0975249, 19714, 419.447, 0.16, 30
48, 482, 482, 1, 0, 0.0975249, 20196, 420.75, 0.16, 30
49, 483, 483, 1, 0, 0.0975249, 20679, 422.02, 0.16, 29
50, 483, 483, 1, 0, 0.0975249, 21162, 423.24, 0.16, 30
51, 483, 483, 1, 0, 0.0975249, 21645, 424.412, 0.16, 30
52, 483, 483, 1, 0, 0.0975249, 22128, 425.538, 0.16, 31
53, 482, 482, 1, 0, 0.0975249, 22610, 426.604, 0.16, 29
54, 483, 483, 1, 0, 0.0975249, 23093, 427.648, 0.16, 29
55, 483, 483, 0, 0, 0.0975249, 23576, 428.655, 0.16, 30
56, 196, 196, 1, 0, 0.0975249, 23772, 424.5, 0.16, 29
57, 466, 466, 1, 0, 0.0975249, 24238, 425.228, 0.16, 30
58, 482, 482, 1, 0, 0.0975249, 24720, 426.207, 0.16, 30
59, 483, 483, 0, 0, 0.0975249, 25203, 427.169, 0.16, 30
60, 196, 196, 1, 0, 0.0975249, 25399, 423.317, 0.16, 29
61, 466, 466, 1, 0, 0.0975249, 25865, 424.016, 0.16, 30
62, 481, 481, 1, 0, 0.0975249, 26346, 424.935, 0.16, 29
63, 482, 482, 1, 0, 0.0975249, 26828, 425.841, 0.16, 30
64, 483, 483, 1, 0, 0.0975249, 27311, 426.734, 0.16, 30
65, 483, 483, 1, 0, 0.0975249, 27794, 427.6, 0.16, 30
66, 483, 483, 1, 0, 0.0975249, 28277, 428.439, 0.16, 29
67, 483, 483, 1, 0, 0.0975249, 28760, 429.254, 0.16, 30
68, 482, 482, 1, 0, 0.0975249, 29242, 430.029, 0.16, 30
69, 483, 483, 1, 0, 0.0975249, 29725, 430.797, 0.15, 30
70, 483, 483, 1, 0, 0.0975249, 30208, 431.543, 0.15, 30
71, 483, 483, 1, 0, 0.0975249, 30691, 432.268, 0.16, 30
72, 483, 483, 1, 0, 0.0975249, 31174, 432.972, 0.16, 30
73, 483, 483, 1, 0, 0.0975249, 31657, 433.658, 0.16, 30
74, 483, 483, 1, 0, 0.0975249, 32140, 434.324, 0.16, 30
75, 483, 483, 1, 0, 0.0975249, 32623, 434.973, 0.16, 29
76, 483, 483, 1, 0, 0.0975249, 33106, 435.605, 0.16, 29
77, 483, 483, 1, 0, 0.0975249, 33589, 436.221, 0.16, 30
78, 483, 483, 1, 0, 0.0975249, 34072, 436.821, 0.16, 29
79, 483, 483, 1, 0, 0.0975249, 34555, 437.405, 0.16, 29
80, 483, 483, 1, 0, 0.0975249, 35038, 437.975, 0.16, 30
81, 483, 483, 1, 0, 0.0975249, 35521, 438.531, 0.16, 29
82, 483, 483, 1, 0, 0.0975249, 36004, 439.073, 0.16, 31
83, 483, 483, 1, 0, 0.0975249, 36487, 439.602, 0.16, 29
84, 483, 483, 1, 0, 0.0975249, 36970, 440.119, 0.16, 30
85, 483, 483, 1, 0, 0.0975249, 37453, 440.624, 0.16, 29
86, 483, 483, 1, 0, 0.0975249, 37936, 441.116, 0.16, 29
87, 483, 483, 1, 0, 0.0975249, 38419, 441.598, 0.16, 29
88, 483, 483, 1, 0, 0.0975249, 38902, 442.068, 0.16, 29
89, 483, 483, 1, 0, 0.0975249, 39385, 442.528, 0.16, 29
90, 483, 483, 1, 0, 0.0975249, 39868, 442.978, 0.15, 29
91, 483, 483, 1, 0, 0.0975249, 40351, 443.418, 0.16, 30
92, 483, 483, 1, 0, 0.0975249, 40834, 443.848, 0.16, 29
93, 483, 483, 1, 0, 0.0975249, 41317, 444.269, 0.16, 30
94, 483, 483, 1, 0, 0.0975249, 41800, 444.681, 0.16, 30
